index,DateTime,vosaline
0,2001-08-16 00:00:00,36.114655
0,2001-09-16 00:00:00,36.1529
0,2001-10-16 00:00:00,36.08923
0,2001-11-16 00:00:00,36.14368
0,2001-12-16 00:00:00,36.081085
0,2002-01-16 00:00:00,35.931225
0,2002-02-15 00:00:00,35.824963
0,2002-03-16 00:00:00,35.745564
0,2002-04-16 00:00:00,35.663334
0,2002-05-16 00:00:00,35.662876
0,2002-06-16 00:00:00,35.79697
0,2002-07-16 00:00:00,35.91408
0,2002-08-16 00:00:00,35.968212
0,2002-09-16 00:00:00,36.047512
0,2002-10-16 00:00:00,36.1031
0,2002-11-16 00:00:00,36.160442
0,2002-12-16 00:00:00,36.104
0,2003-01-16 00:00:00,35.931953
0,2003-02-15 00:00:00,35.718372
0,2003-03-16 00:00:00,35.675175
0,2003-04-16 00:00:00,35.5682
0,2003-05-16 00:00:00,35.633545
0,2003-06-16 00:00:00,35.725414
0,2003-07-16 00:00:00,35.810566
0,2003-08-16 00:00:00,35.922886
0,2003-09-16 00:00:00,35.970398
0,2003-10-16 00:00:00,36.008656
0,2003-11-16 00:00:00,35.985752
0,2003-12-16 00:00:00,35.956135
0,2004-01-16 00:00:00,35.939293
0,2004-02-15 00:00:00,35.92399
0,2004-03-16 00:00:00,35.946518
0,2004-04-16 00:00:00,35.81345
0,2004-05-16 00:00:00,35.823845
0,2004-06-16 00:00:00,35.907417
0,2004-07-16 00:00:00,36.00801
0,2004-08-16 00:00:00,36.050083
0,2004-09-16 00:00:00,36.155827
0,2004-10-16 00:00:00,36.29087
0,2004-11-16 00:00:00,36.28234
0,2004-12-16 00:00:00,36.284588
0,2005-01-16 00:00:00,36.252987
0,2005-02-15 00:00:00,36.061565
0,2005-03-16 00:00:00,35.98283
0,2005-04-16 00:00:00,35.81992
0,2005-05-16 00:00:00,35.84778
0,2005-06-16 00:00:00,35.92578
0,2005-07-16 00:00:00,35.96169
0,2005-08-16 00:00:00,35.97537
0,2005-09-16 00:00:00,35.9547
0,2005-10-16 00:00:00,35.936676
0,2005-11-16 00:00:00,35.941677
0,2005-12-16 00:00:00,35.930046
0,2006-01-16 00:00:00,35.783257
0,2006-02-15 00:00:00,35.73123
0,2006-03-16 00:00:00,35.755775
0,2006-04-16 00:00:00,35.75201
0,2006-05-16 00:00:00,35.729134
0,2006-06-16 00:00:00,35.761463
0,2006-07-16 00:00:00,35.87252
0,2006-08-16 00:00:00,35.990818
0,2006-09-16 00:00:00,36.153957
0,2006-10-16 00:00:00,36.20579
0,2006-11-16 00:00:00,36.205326
0,2006-12-16 00:00:00,36.20391
0,2007-01-16 00:00:00,35.9709
0,2007-02-15 00:00:00,35.823612
0,2007-03-16 00:00:00,35.765366
0,2007-04-16 00:00:00,35.76784
0,2007-05-16 00:00:00,35.67686
0,2007-06-16 00:00:00,35.859215
0,2007-07-16 00:00:00,36.067375
0,2007-08-16 00:00:00,36.18887
0,2007-09-16 00:00:00,36.248955
0,2007-10-16 00:00:00,36.25301
0,2007-11-16 00:00:00,36.238186
0,2007-12-16 00:00:00,36.206528
0,2008-01-16 00:00:00,35.900814
0,2008-02-15 00:00:00,35.88583
0,2008-03-16 00:00:00,35.9052
0,2008-04-16 00:00:00,35.96343
0,2008-05-16 00:00:00,35.99611
0,2008-06-16 00:00:00,36.106228
0,2008-07-16 00:00:00,36.18535
0,2008-08-16 00:00:00,36.292446
0,2008-09-16 00:00:00,36.404392
0,2008-10-16 00:00:00,36.500458
0,2008-11-16 00:00:00,36.54768
0,2008-12-16 00:00:00,36.50136
0,2009-01-16 00:00:00,36.398273
0,2009-02-15 00:00:00,36.1923
0,2009-03-16 00:00:00,36.078407
0,2009-04-16 00:00:00,36.014675
0,2009-05-16 00:00:00,36.091293
0,2009-06-16 00:00:00,36.21809
0,2009-07-16 00:00:00,36.313644
0,2009-08-16 00:00:00,36.28226
0,2009-09-16 00:00:00,36.299397
0,2009-10-16 00:00:00,36.291084
0,2009-11-16 00:00:00,36.27944
0,2009-12-16 00:00:00,36.190617
0,2010-01-16 00:00:00,36.277225
0,2010-02-15 00:00:00,35.99119
0,2010-03-16 00:00:00,35.87135
0,2010-04-16 00:00:00,35.541092
0,2010-05-16 00:00:00,35.629303
0,2010-06-16 00:00:00,35.766003
0,2010-07-16 00:00:00,35.86608
0,2010-08-16 00:00:00,35.957657
0,2010-09-16 00:00:00,36.015827
0,2010-10-16 00:00:00,36.0624
0,2010-11-16 00:00:00,36.043945
0,2010-12-16 00:00:00,36.01664
0,2011-01-16 00:00:00,36.05448
0,2011-02-15 00:00:00,36.084736
0,2011-03-16 00:00:00,36.125057
0,2011-04-16 00:00:00,36.18447
0,2011-05-16 00:00:00,36.154255
0,2011-06-16 00:00:00,36.169422
0,2011-07-16 00:00:00,36.22818
0,2011-08-16 00:00:00,36.318737
0,2011-09-16 00:00:00,36.38059
0,2011-10-16 00:00:00,36.432938
0,2011-11-16 00:00:00,36.386433
0,2011-12-16 00:00:00,36.394115
0,2012-01-16 00:00:00,36.351982
0,2012-02-15 00:00:00,36.36275
0,2012-03-16 00:00:00,36.250893
0,2012-04-16 00:00:00,36.13115
0,2012-05-16 00:00:00,36.001305
0,2012-06-16 00:00:00,36.016262
0,2012-07-16 00:00:00,36.13458
0,2012-08-16 00:00:00,36.241673
0,2012-09-16 00:00:00,36.26232
0,2012-10-16 00:00:00,36.287334
0,2012-11-16 00:00:00,36.304146
0,2012-12-16 00:00:00,36.256065
0,2013-01-16 00:00:00,35.955082
0,2013-02-15 00:00:00,35.74012
0,2013-03-16 00:00:00,35.533325
0,2013-04-16 00:00:00,35.444744
0,2013-05-16 00:00:00,35.439777
0,2013-06-16 00:00:00,35.732117
0,2013-07-16 00:00:00,35.912598
0,2013-08-16 00:00:00,36.03453
0,2013-09-16 00:00:00,36.07184
0,2013-10-16 00:00:00,36.04309
0,2013-11-16 00:00:00,36.003304
0,2013-12-16 00:00:00,35.965
0,2014-01-16 00:00:00,35.829247
0,2014-02-15 00:00:00,35.5598
0,2014-03-16 00:00:00,35.312187
0,2014-04-16 00:00:00,35.186024
0,2014-05-16 00:00:00,35.291477
0,2014-06-16 00:00:00,35.388527
0,2014-07-16 00:00:00,35.431656
0,2014-08-16 00:00:00,35.496037
0,2014-09-16 00:00:00,35.550396
0,2014-10-16 00:00:00,35.65166
0,2014-11-16 00:00:00,35.63151
0,2014-12-16 00:00:00,35.54585
0,2015-02-15 00:00:00,35.699177
0,2015-03-16 00:00:00,35.634846
0,2015-03-16 00:00:00,35.634846
0,2015-04-16 00:00:00,35.86529
0,2015-05-16 00:00:00,35.84013
0,2015-06-16 00:00:00,35.904186
0,2015-07-16 00:00:00,35.970047
0,2015-08-16 00:00:00,36.081
0,2015-09-16 00:00:00,36.18103
0,2015-10-16 00:00:00,36.2399
0,2015-11-16 00:00:00,36.25443
0,2015-12-16 00:00:00,36.304794
0,2016-01-16 00:00:00,36.205265
0,2016-02-15 00:00:00,36.07699
0,2016-03-16 00:00:00,35.74632
0,2016-04-16 00:00:00,35.628708
0,2016-05-16 00:00:00,35.415203
0,2016-06-16 00:00:00,35.57387
0,2016-07-16 00:00:00,35.757954
0,2016-08-16 00:00:00,35.865036
0,2016-09-16 00:00:00,35.94352
0,2016-10-16 00:00:00,35.979553
0,2016-11-16 00:00:00,36.018024
0,2016-12-16 00:00:00,35.96989
0,2017-01-16 00:00:00,35.883987
0,2017-02-15 00:00:00,35.66913
0,2017-03-16 00:00:00,35.65422
0,2017-04-16 00:00:00,35.523567
0,2017-05-16 00:00:00,35.616436
0,2017-06-16 00:00:00,35.720963
0,2017-07-16 00:00:00,35.804546
0,2017-08-16 00:00:00,35.933792
0,2017-09-16 00:00:00,36.045612
0,2017-10-16 00:00:00,36.143906
0,2017-11-16 00:00:00,36.165215
0,2017-12-16 00:00:00,36.167118
0,2018-01-16 00:00:00,36.024185
0,2018-02-15 00:00:00,35.78934
0,2018-03-16 00:00:00,35.69594
0,2018-04-16 00:00:00,35.64449
